,fsk_rssi,voltage,current,altitude,latitude,longitude,tas,gps_used,fix_type,satellites_num,roll,yaw,pitch,motor_status,imu_status,gps_status,cgps_used,press_compass_status,f_mode,gps_pos_used,vehicle_type,error_flags1,gps_accH
20150713 14:01:15:313,-46,11.8,0.0,-0.02,32.963573,-117.064606,0.0,false,3,16,-1.35,172.91,0.92,15,97,1,1,21,16,false,2,0,1.9
20150713 14:01:15:509,-44,11.8,0.0,-0.05,32.963573,-117.064606,0.014142135,false,3,16,-1.35,174.93,0.92,15,97,1,1,21,16,false,2,0,1.85
20150713 14:01:16:038,-55,11.8,0.0,-0.06,32.963573,-117.064606,0.02,false,3,16,-1.35,179.45001,0.91,15,97,1,1,21,16,false,2,0,1.65
20150713 14:01:16:621,-54,11.8,0.0,-0.1,32.963573,-117.064606,0.01,false,3,16,-1.34,181.76001,0.91,15,97,1,1,21,16,false,2,0,1.5
20150713 14:01:17:419,-55,11.8,0.0,-0.12,32.963573,-117.064606,0.01,false,3,16,-1.35,193.98001,0.9,15,97,1,1,21,16,false,2,0,1.4
20150713 14:01:17:925,-42,11.8,0.0,-0.12,32.963573,-117.064606,0.01,false,3,16,-1.35,194.2,0.91,15,97,1,1,21,16,false,2,0,1.3
20150713 14:01:18:708,-45,11.8,0.0,-0.15,32.963573,-117.064606,0.01,false,3,16,-1.35,194.78,0.91,15,97,1,1,21,16,false,2,0,1.2
20150713 14:01:19:084,-43,11.8,0.0,-0.14,32.963573,-117.064606,0.022360679,false,3,16,-1.35,194.93,0.91,15,97,1,1,21,16,false,2,0,1.2
20150713 14:01:19:281,-45,11.8,0.0,-0.1,32.963573,-117.064606,0.01,false,3,16,-1.35,195.0,0.9,15,97,1,1,21,16,false,2,0,1.2
20150713 14:01:20:466,-42,11.8,0.0,-0.12,32.963573,-117.064606,0.01,true,3,16,-1.36,195.20999,0.89,15,97,1,1,21,16,false,2,0,1.1
20150713 14:01:21:259,-44,11.8,0.0,-0.07,32.963573,-117.064606,0.01,true,3,16,-1.37,195.34,0.89,15,97,1,1,21,16,false,2,0,1.05
20150713 14:01:21:741,-37,11.8,0.0,-0.02,32.963573,-117.064606,0.01,true,3,16,-1.37,195.38,0.88,15,97,1,1,21,16,false,2,0,1.0
20150713 14:01:21:939,-46,11.8,0.0,-0.02,32.963573,-117.064606,0.0,true,3,16,-1.37,195.38,0.88,15,97,1,1,21,16,false,2,0,1.0
20150713 14:01:22:443,-42,11.8,0.0,-0.03,32.963573,-117.064606,0.0,true,3,16,-1.36,195.35,0.89,15,97,1,1,21,16,false,2,0,1.0
20150713 14:01:22:819,-49,11.8,0.0,-0.05,32.963573,-117.064606,0.014142135,true,3,16,-1.36,195.35,0.88,15,97,1,1,21,16,false,2,0,0.95
20150713 14:01:22:924,-45,11.8,0.0,-0.06,32.963573,-117.064606,0.0,true,3,16,-1.36,195.33,0.88,15,97,1,1,21,16,false,2,0,0.95
20150713 14:01:23:128,-37,11.8,0.0,-0.07,32.963573,-117.064606,0.01,true,3,16,-1.36,195.33,0.89,15,97,1,1,21,16,false,2,0,0.95
20150713 14:01:23:845,-46,11.8,0.0,-0.05,32.963573,-117.064606,0.0,true,3,16,-1.36,195.31,0.89,15,97,1,1,21,16,false,2,0,0.9
20150713 14:01:24:203,-42,11.8,0.0,-0.09,32.963573,-117.064606,0.0,true,3,16,-1.36,195.3,0.89,15,97,1,1,21,16,false,2,0,0.9
20150713 14:01:24:424,-51,11.8,0.0,-0.1,32.963573,-117.064606,0.01,true,3,16,-1.36,195.29001,0.89,15,97,1,1,21,16,false,2,0,0.85
20150713 14:01:25:001,-43,11.8,0.0,-0.08,32.963573,-117.064606,0.0,true,3,16,-1.36,195.29001,0.9,15,97,1,1,21,16,false,2,0,0.85
20150713 14:01:25:482,-56,11.8,0.0,-0.06,32.963577,-117.064606,0.01,true,3,16,-1.35,195.3,0.89,15,97,1,1,21,16,false,2,0,0.85
20150713 14:01:25:700,-45,11.8,0.0,-0.05,32.963577,-117.064606,0.0,true,3,16,-1.36,195.3,0.88,15,97,1,1,21,16,false,2,0,0.8
20150713 14:01:26:382,-33,11.8,0.0,-0.03,32.963577,-117.064606,0.01,true,3,16,-1.36,195.3,0.89,15,97,1,1,21,16,false,2,0,0.8
